Node:4 | Msg:From:3 | PTZL is working on it | count:21 | RSSI:-62 | SNR:8.25 | Count:20
Node:4 | Msg:From:3 | PTZL is working on it | count:22 | RSSI:-63 | SNR:9.75 | Count:21
Node:4 | Msg:From:3 | PTZL is working on it | count:23 | RSSI:-62 | SNR:9.00 | Count:22
Node:4 | Msg:From:3 | PTZL is working on it | count:25 | RSSI:-70 | SNR:8.50 | Count:23
Node:4 | Msg:From:3 | PTZL is working on it | count:26 | RSSI:-64 | SNR:9.25 | Count:24
Node:4 | Msg:From:3 | PTZL is working on it | count:27 | RSSI:-68 | SNR:8.50 | Count:25
Node:4 | Msg:From:3 | PTZL is working on it | count:28 | RSSI:-69 | SNR:8.50 | Count:26
Node:4 | Msg:From:3 | PTZL is working on it | count:29 | RSSI:-66 | SNR:8.50 | Count:27
Node:4 | Msg:From:3 | PTZL is working on it | count:30 | RSSI:-66 | SNR:8.75 | Count:28
Node:4 | Msg:From:3 | PTZL is working on it | count:31 | RSSI:-73 | SNR:8.00 | Count:29
Node:4 | Msg:From:3 | PTZL is working on it | count:32 | RSSI:-67 | SNR:8.75 | Count:30
Node:4 | Msg:From:3 | PTZL is working on it | count:34 | RSSI:-62 | SNR:8.50 | Count:31
Node:4 | Msg:From:3 | PTZL is working on it | count:35 | RSSI:-65 | SNR:8.25 | Count:32
Node:4 | Msg:From:3 | PTZL is working on it | count:36 | RSSI:-63 | SNR:9.00 | Count:33
Node:4 | Msg:From:3 | PTZL is working on it | count:37 | RSSI:-63 | SNR:9.00 | Count:34
Node:4 | Msg:From:3 | PTZL is working on it | count:39 | RSSI:-62 | SNR:8.00 | Count:35
Node:4 | Msg:From:3 | PTZL is working on it | count:40 | RSSI:-60 | SNR:8.50 | Count:36
Node:4 | Msg:From:3 | PTZL is working on it | count:42 | RSSI:-62 | SNR:8.50 | Count:37
Node:4 | Msg:From:3 | PTZL is working on it | count:43 | RSSI:-62 | SNR:7.50 | Count:38
Node:4 | Msg:From:3 | PTZL is working on it | count:44 | RSSI:-60 | SNR:8.75 | Count:39
Node:4 | Msg:From:3 | PTZL is working on it | count:45 | RSSI:-60 | SNR:7.75 | Count:40
Node:4 | Msg:From:3 | PTZL is working on it | count:46 | RSSI:-63 | SNR:7.50 | Count:41
Node:4 | Msg:From:3 | PTZL is working on it | count:47 | RSSI:-63 | SNR:9.00 | Count:42
Node:4 | Msg:From:3 | PTZL is working on it | count:48 | RSSI:-62 | SNR:8.50 | Count:43
Node:4 | Msg:From:3 | PTZL is working on it | count:49 | RSSI:-62 | SNR:7.75 | Count:44
Node:4 | Msg:From:3 | PTZL is working on it | count:50 | RSSI:-63 | SNR:7.50 | Count:45
Node:4 | Msg:From:3 | PTZL is working on it | count:51 | RSSI:-61 | SNR:8.25 | Count:46
Node:4 | Msg:From:3 | PTZL is working on it | count:52 | RSSI:-60 | SNR:8.25 | Count:47
Node:4 | Msg:From:3 | PTZL is working on it | count:53 | RSSI:-61 | SNR:8.25 | Count:48
Node:4 | Msg:From:3 | PTZL is working on it | count:54 | RSSI:-61 | SNR:7.50 | Count:49
Node:4 | Msg:From:3 | PTZL is working on it | count:55 | RSSI:-63 | SNR:8.00 | Count:50
Node:4 | Msg:From:3 | PTZL is working on it | count:55 | RSSI:-63 | SNR:8.00 | Count:51
Node:4 | Msg:From:3 | PTZL is working on it | count:56 | RSSI:-61 | SNR:8.75 | Count:52
Node:4 | Msg:From:3 | PTZL is working on it | count:57 | RSSI:-62 | SNR:7.50 | Count:53
Node:4 | Msg:From:3 | PTZL is working on it | count:58 | RSSI:-61 | SNR:8.50 | Count:54
Node:4 | Msg:From:3 | PTZL is working on it | count:59 | RSSI:-61 | SNR:8.50 | Count:55
Node:4 | Msg:From:3 | PTZL is working on it | count:61 | RSSI:-61 | SNR:8.50 | Count:56
Node:4 | Msg:From:3 | PTZL is working on it | count:62 | RSSI:-61 | SNR:8.50 | Count:57
Node:4 | Msg:From:3 | PTZL is working on it | count:63 | RSSI:-59 | SNR:8.75 | Count:58
Node:4 | Msg:From:3 | PTZL is working on it | count:64 | RSSI:-63 | SNR:8.00 | Count:59
Node:4 | Msg:From:3 | PTZL is working on it | count:65 | RSSI:-61 | SNR:8.50 | Count:60
Node:4 | Msg:From:3 | PTZL is working on it | count:66 | RSSI:-61 | SNR:7.75 | Count:61
Node:4 | Msg:From:3 | PTZL is working on it | count:67 | RSSI:-62 | SNR:8.50 | Count:62
Node:4 | Msg:From:3 | PTZL is working on it | count:68 | RSSI:-62 | SNR:7.75 | Count:63
